SMILES,Most Basic,Most Acidic,Mass Solubility pH 1,Mass Solubility pH 2,Mass Solubility pH 3,Mass Solubility pH 4,Mass Solubility pH 5,Mass Solubility pH 6,Mass Solubility pH 7,Mass Solubility pH 8,Mass Solubility pH 9,Mass Solubility pH 10,LogD pH 1,LogD pH 2,LogD pH 3,LogD pH 4,LogD pH 5,LogD pH 6,LogD pH 7,LogD pH 8,LogD pH 9,LogD pH 10,Water Solubility,Caco-2 permeable,Melting Point (°C),Boiling Point (°C),Bioavailability,Bi Basic,Bi Acidic
C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@]34C)[C@@H]1CCC2=O,,,-1.4685210829577449,-1.4685210829577449,-1.4685210829577449,-1.4685210829577449,-1.4685210829577449,-1.4685210829577449,-1.4685210829577449,-1.4685210829577449,-1.4685210829577449,-1.4685210829577449,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,-1.238072161579471,0.8011,2.1986570869544226,,1.0,0.0,0.0
C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@]34C)[C@@H]1CC[C@@H]2O,,15.06,-1.6989700043360187,-1.6989700043360187,-1.6989700043360187,-1.6989700043360187,-1.6989700043360187,-1.6989700043360187,-1.6989700043360187,-1.6989700043360187,-1.6989700043360187,-1.6989700043360187,3.18,3.18,3.18,3.18,3.18,3.18,3.18,3.18,3.18,3.18,-1.630784142589857,0.8984,2.1903316981702914,,1.0,0.0,1.0
C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@]34C)[C@@H]1CC[C@@H]2OC(=O)CCC5CCCC5,,,-4.346787486224656,-4.346787486224656,-4.346787486224656,-4.346787486224656,-4.346787486224656,-4.346787486224656,-4.346787486224656,-4.346787486224656,-4.346787486224656,-4.346787486224656,6.61,6.61,6.61,6.61,6.61,6.61,6.61,6.61,6.61,6.61,,,2.0043213737826426,,1.0,0.0,0.0
C[C@]12CC[C@H]3[C@@H](CCC4=CCCC[C@H]34)[C@@H]1CC[C@@]2(O)C#C,,13.12,-3.1870866433571443,-3.1870866433571443,-3.1870866433571443,-3.1870866433571443,-3.1870866433571443,-3.1870866433571443,-3.1870866433571443,-3.1870866433571443,-3.1870866433571443,-3.1870866433571443,5.59,5.59,5.59,5.59,5.59,5.59,5.59,5.59,5.59,5.59,-2.4365189146055894,,,,1.0,0.0,1.0
C[C@]12CC[C@H]3[C@@H](CCC4=C[C@@H](O)CC[C@H]34)[C@@H]1CC[C@@]2(O)C#C,,13.1,-2.0757207139381184,-2.0757207139381184,-2.0757207139381184,-2.0757207139381184,-2.0757207139381184,-2.0757207139381184,-2.0757207139381184,-2.0757207139381184,-2.0757207139381184,-2.0757207139381184,3.77,3.77,3.77,3.77,3.77,3.77,3.77,3.77,3.77,3.77,-2.1051303432547477,,,,1.0,0.0,1.0
C[C@]12CC[C@H]3[C@@H](CC[C@@]45O[C@@H]4C(=C(C[C@]35C)C#N)O)[C@@H]1CC[C@@H]2O,,8.57,-1.6197887582883939,-1.6197887582883939,-1.6197887582883939,-1.6197887582883939,-1.6197887582883939,-1.6197887582883939,-1.6020599913279623,-1.5086383061657274,-1.0506099933550872,-0.1804560644581313,3.1,3.1,3.1,3.1,3.1,3.09,3.08,2.99,2.53,1.65,-1.2276782932770802,0.5851,,,1.0,0.0,1.0
C[C@]12CC[C@H]3[C@@H](CC[C@H]4CC(=O)CC[C@]34C)[C@@H]1CC[C@@H]2O,,15.08,-2.136677139879544,-2.136677139879544,-2.136677139879544,-2.136677139879544,-2.136677139879544,-2.136677139879544,-2.136677139879544,-2.136677139879544,-2.136677139879544,-2.136677139879544,3.93,3.93,3.93,3.93,3.93,3.93,3.93,3.93,3.93,3.93,2.720159303405957,0.8846,2.2576785748691846,,1.0,0.0,1.0
C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CCC2=O,,10.25,-2.2441251443275085,-2.2441251443275085,-2.2441251443275085,-2.2441251443275085,-2.2441251443275085,-2.2441251443275085,-2.2441251443275085,-2.2441251443275085,-2.2291479883578558,-2.050609993355087,3.62,3.62,3.62,3.62,3.62,3.62,3.62,3.62,3.6,3.43,-0.11918640771920865,0.8934,2.414137362184477,2.6485551556626707,1.0,0.0,1.0
C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@H]2O,,10.27,-2.5228787452803374,-2.5228787452803374,-2.5228787452803374,-2.5228787452803374,-2.5228787452803374,-2.5228787452803374,-2.5228787452803374,-2.5228787452803374,-2.5228787452803374,-2.337242168318426,4.15,4.15,4.15,4.15,4.15,4.15,4.15,4.14,4.12,3.96,-2.4436974992327127,0.8867,,2.6492374723496073,1.0,0.0,1.0
C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@H]2OC(=O)CCC5CCCC5,,10.25,-4.229147988357856,-4.229147988357856,-4.229147988357856,-4.229147988357856,-4.229147988357856,-4.229147988357856,-4.229147988357856,-4.229147988357856,-4.200659450546418,-4.040958607678906,7.58,7.58,7.58,7.58,7.58,7.58,7.57,7.57,7.55,7.38,-3.9281179926938745,,,,1.0,0.0,1.0
C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1C[C@@H](O)[C@@H]2O,,10.25,-1.537602002101044,-1.537602002101044,-1.537602002101044,-1.537602002101044,-1.537602002101044,-1.537602002101044,-1.537602002101044,-1.537602002101044,-1.494850021680094,-1.3665315444204136,2.53,2.53,2.53,2.53,2.53,2.53,2.53,2.53,2.5,2.34,-0.9244530386074693,0.7591,1.9242792860618816,,1.0,0.0,1.0
