"GROUP_ID","GROUP_NM","GROUP_NM_ENG","REGISTER_NO","REGIST_DT","UPDUSR_NO","UPDT_DT","RM"
R010010,메뉴유형코드,MENUTYPE,1,,1,,메뉴유형코드
R010020,사용여부,사용여부,1,,1,,사용여부
R010030,성별 코드,,1,,1,,
R010040,연락처 구분 코드,CTTPCSE,1,,1,,"연락처 구분 코드




"
R010050,사용자 상태 코드,USERSTTUS,1,,1,,"사용자 상태 코드




"
R010060,사용자 구분 코드,USERSE,1,,1,,사용자 구분 코드
R010070,게시판 유형 코드,,1,,1,,
R010080,기관 코드,"",1,,1,"2020-03-20 13:28:50.0",""
R010090,팝업 구분 코드,,1,,1,,
R010100,배너 영역 코드,,1,,1,,
R010110,URL유형코드,,1,,1,,메뉴 관리에서 쓰이는 유형 코드
